trade_no,signal_ts,entry_ts,exit_ts,direction,trigger,entry_price,stop_loss,take_profit,risk_distance,sl_method,exit_price,result,r_mult,mae_r,mfe_r,hold_bars,reason
11,2026-06-13 06:45:00+00,2026-06-13 07:00:00+00,2026-06-13 10:00:00+00,LONG,BREAKOUT_10,1668.86,1661.3,1683.98,7.56,STRUCTURE,1672.97,TIME_WIN,0.54365079365079365079,0.40211640211640211640,0.63492063492063492063,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
12,2026-06-13 11:00:00+00,2026-06-13 11:15:00+00,2026-06-13 14:15:00+00,LONG,BREAKOUT_10,1676.49,1671.9,1685.67,4.59,STRUCTURE,1677.91,TIME_WIN,0.30936819172113289760,0.12854030501089324619,0.80610021786492374728,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
13,2026-06-13 15:15:00+00,2026-06-13 15:30:00+00,2026-06-13 16:00:00+00,LONG,BREAKOUT_10,1682.51,1677.08,1693.37,5.43,STRUCTURE,1677.08,LOSS,-1,-2.2320441988950276,-0.07918968692449355433,2,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
14,2026-06-13 18:15:00+00,2026-06-13 18:30:00+00,2026-06-13 21:30:00+00,LONG,RECLAIM_SMA20,1678.9,1672.36,1691.98,6.54,STRUCTURE,1691.98,WIN,2,-0.53669724770642201835,2.8287461773700306,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
15,2026-06-13 23:45:00+00,2026-06-14 00:00:00+00,2026-06-14 01:15:00+00,LONG,RECLAIM_SMA20,1680.36,1675.30885714285714284,1690.46228571428571432,5.05114285714285716,ATR_1.2,1690.46228571428571432,WIN,2,0.04949374964647321664,2.06883873522258046,5,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
16,2026-06-14 03:15:00+00,2026-06-14 03:30:00+00,2026-06-14 04:30:00+00,LONG,RECLAIM_SMA20,1681.89,1678.12628571428571432,1689.41742857142857136,3.76371428571428568,ATR_1.2,1678.12628571428571432,LOSS,-1,-2.46299248462764748,-0.08767934411295832464,4,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
17,2026-06-15 01:30:00+00,2026-06-15 01:45:00+00,2026-06-15 04:45:00+00,LONG,RECLAIM_SMA20,1720.82,1708.54,1745.38,12.28,STRUCTURE,1716.37,TIME_LOSS,-0.36237785016286644951,-0.39169381107491856678,-0.11644951140065146580,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
18,2026-06-15 05:15:00+00,2026-06-15 05:30:00+00,2026-06-15 08:00:00+00,LONG,RECLAIM_SMA20,1720.42,1714.90257142857142852,1731.45485714285714296,5.51742857142857148,ATR_1.2,1714.90257142857142852,LOSS,-1,-1.01859044068147686897,0.14499508052405364683,10,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
19,2026-06-15 08:30:00+00,2026-06-15 08:45:00+00,2026-06-15 09:30:00+00,LONG,RECLAIM_SMA20,1720,1714.8,1730.4,5.2,STRUCTURE,1714.8,LOSS,-1,-1.6653846153846154,9.8326923076923077,3,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
20,2026-06-15 10:00:00+00,2026-06-15 10:15:00+00,2026-06-15 10:45:00+00,LONG,RECLAIM_SMA20,1721.73,1711.34,1742.51,10.39,STRUCTURE,1742.51,WIN,2,0.41963426371511068335,10.1145332050048123,2,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
21,2026-06-15 19:00:00+00,2026-06-15 19:15:00+00,2026-06-15 19:15:00+00,LONG,RECLAIM_SMA20,1831.69,1821.64771428571428568,1851.77457142857142864,10.04228571428571432,ATR_1.2,1821.64771428571428568,LOSS,-1,-4.31973369750768179,0.19318311141458973418,0,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
22,2026-06-16 08:00:00+00,2026-06-16 08:15:00+00,2026-06-16 08:45:00+00,LONG,BREAKOUT_10,1776.85,1768,1794.55,8.85,STRUCTURE,1794.55,WIN,2,0.86666666666666666667,3.4587570621468927,2,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
23,2026-06-16 12:00:00+00,2026-06-16 12:15:00+00,2026-06-16 13:00:00+00,LONG,BREAKOUT_10,1808.49,1790.21,1845.05,18.28,STRUCTURE,1790.21,LOSS,-1,-2.5142231947483589,0.43435448577680525164,3,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
24,2026-06-16 17:45:00+00,2026-06-16 18:00:00+00,2026-06-16 21:00:00+00,LONG,BREAKOUT_10,1794.35,1775.2,1832.65,19.15,STRUCTURE,1798.45,TIME_WIN,0.21409921671018276762,-0.06214099216710182768,0.28511749347258485640,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
25,2026-06-17 01:45:00+00,2026-06-17 02:00:00+00,2026-06-17 05:00:00+00,LONG,RECLAIM_SMA20,1796.88,1778.03,1834.58,18.85,STRUCTURE,1790.66,TIME_LOSS,-0.32997347480106100796,-0.34641909814323607427,0.08859416445623342175,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
26,2026-06-20 09:00:00+00,2026-06-20 09:15:00+00,2026-06-20 12:15:00+00,LONG,RECLAIM_SMA20,1724.85,1720.29857142857142852,1733.95285714285714296,4.55142857142857148,ATR_1.2,1728.3,TIME_WIN,0.75800376647834274096,0.36691776522284996447,0.93596986817325799319,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
27,2026-06-21 20:30:00+00,2026-06-21 20:45:00+00,2026-06-21 21:00:00+00,SHORT,REJECT_SMA20,1726.88,1735.28,1710.08,8.40,STRUCTURE,1710.08,WIN,2,0.64523809523809523810,3.1976190476190476,1,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
28,2026-06-22 21:30:00+00,2026-06-22 21:45:00+00,2026-06-23 00:45:00+00,SHORT,BREAKDOWN_10,1728.25,1736.95,1710.85,8.70,STRUCTURE,1730.35,TIME_LOSS,-0.24137931034482758621,-0.31609195402298850575,0.24022988505747126437,12,4H bearish + 1H bearish + 15m momentum confirmation + BREAKDOWN_10 + RSI 22-52
29,2026-06-23 01:30:00+00,2026-06-23 01:45:00+00,2026-06-23 04:45:00+00,SHORT,REJECT_SMA20,1727.28,1735.7,1710.44,8.42,STRUCTURE,1718.36,TIME_WIN,1.05938242280285035629,0.43230403800475059382,1.2066508313539192,12,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
30,2026-06-23 05:15:00+00,2026-06-23 05:30:00+00,2026-06-23 08:00:00+00,SHORT,BREAKDOWN_10,1712.91,1729.9,1678.93,16.99,STRUCTURE,1678.93,WIN,2,1.7045320776927604,4.6833431430253090,10,4H bearish + 1H bearish + 15m momentum confirmation + BREAKDOWN_10 + RSI 22-52
31,2026-06-23 12:45:00+00,2026-06-23 13:00:00+00,2026-06-23 13:45:00+00,SHORT,REJECT_SMA20,1653.75,1662.95,1635.35,9.20,STRUCTURE,1662.95,LOSS,-1,-2.1760869565217391,-0.15760869565217391304,3,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
32,2026-06-23 15:00:00+00,2026-06-23 15:15:00+00,2026-06-23 16:00:00+00,SHORT,REJECT_SMA20,1656.01,1671.23,1625.57,15.22,STRUCTURE,1671.23,LOSS,-1,-1.1668856767411301,0.06504599211563731932,3,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
33,2026-06-23 17:00:00+00,2026-06-23 17:15:00+00,2026-06-23 20:15:00+00,SHORT,REJECT_SMA20,1657.07,1673.77,1623.67,16.70,STRUCTURE,1663.27,TIME_LOSS,-0.37125748502994011976,-0.46766467065868263473,-0.25988023952095808383,12,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
34,2026-06-23 23:30:00+00,2026-06-23 23:45:00+00,2026-06-23 23:45:00+00,SHORT,REJECT_SMA20,1661.76,1666.33800000000000000,1652.60400000000000000,4.57800000000000000,ATR_1.2,1666.33800000000000000,LOSS,-1,-3.93403232852774137,0.08519003931847968545,0,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
35,2026-06-24 13:00:00+00,2026-06-24 13:15:00+00,2026-06-24 16:15:00+00,SHORT,REJECT_SMA20,1654.6,1680.6,1602.6,26.0,STRUCTURE,1631.27,TIME_WIN,0.89730769230769230769,0.73653846153846153846,1.1584615384615385,12,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
36,2026-06-25 01:00:00+00,2026-06-25 01:15:00+00,2026-06-25 04:15:00+00,SHORT,REJECT_SMA20,1616.46,1625.84,1597.70,9.38,STRUCTURE,1618.52,TIME_LOSS,-0.21961620469083155650,-0.41257995735607675906,-0.01066098081023454158,12,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
37,2026-06-25 18:00:00+00,2026-06-25 18:15:00+00,2026-06-25 21:15:00+00,SHORT,REJECT_SMA20,1564.21,1579.76285714285714284,1533.10428571428571432,15.55285714285714284,ATR_1.2,1567.55,TIME_LOSS,-0.21475153853219436048,-0.25911637733076145891,0.10223201984017635724,12,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
38,2026-06-26 01:15:00+00,2026-06-26 01:30:00+00,2026-06-26 02:00:00+00,SHORT,BREAKDOWN_10,1556.65,1570.58,1528.79,13.93,STRUCTURE,1528.79,WIN,2,-0.24766690595836324480,3.2770997846374731,2,4H bearish + 1H bearish + 15m momentum confirmation + BREAKDOWN_10 + RSI 22-52
39,2026-06-26 04:45:00+00,2026-06-26 05:00:00+00,2026-06-26 06:30:00+00,SHORT,REJECT_SMA20,1549.03,1565.79057142857142852,1515.50885714285714296,16.76057142857142852,ATR_1.2,1565.79057142857142852,LOSS,-1,-2.19025945245644541,-0.47611741843101155920,6,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
40,2026-06-26 09:45:00+00,2026-06-26 10:00:00+00,2026-06-26 13:00:00+00,SHORT,BREAKDOWN_10,1552.01,1568.64,1518.75,16.63,STRUCTURE,1534.32,TIME_WIN,1.0637402285027060,0.65724594107035478052,1.3902585688514732,12,4H bearish + 1H bearish + 15m momentum confirmation + BREAKDOWN_10 + RSI 22-52
41,2026-06-28 01:45:00+00,2026-06-28 02:00:00+00,2026-06-28 02:15:00+00,SHORT,REJECT_SMA20,1574.48,1579.16685714285714284,1565.10628571428571432,4.68685714285714284,ATR_1.2,1579.16685714285714284,LOSS,-1,-1.05827846866617898461,1.33991709339185565,1,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
42,2026-06-28 03:15:00+00,2026-06-28 03:30:00+00,2026-06-28 06:00:00+00,SHORT,REJECT_SMA20,1574.02,1579.44,1563.18,5.42,STRUCTURE,1563.18,WIN,2,0.78413284132841328413,2.3007380073800738,10,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
43,2026-06-28 07:15:00+00,2026-06-28 07:30:00+00,2026-06-28 07:45:00+00,SHORT,REJECT_SMA20,1570.41,1575.59400000000000000,1560.04200000000000000,5.18400000000000000,ATR_1.2,1575.59400000000000000,LOSS,-1,-2.94753086419753086,-0.13695987654320987654,1,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
44,2026-06-28 16:15:00+00,2026-06-28 16:30:00+00,2026-06-28 19:30:00+00,SHORT,BREAKDOWN_10,1575.66,1584.77,1557.44,9.11,STRUCTURE,1567.31,TIME_WIN,0.91657519209659714599,0.20526893523600439078,0.96158068057080131723,12,4H bearish + 1H bearish + 15m momentum confirmation + BREAKDOWN_10 + RSI 22-52
45,2026-06-28 22:15:00+00,2026-06-28 22:30:00+00,2026-06-29 01:30:00+00,SHORT,REJECT_SMA20,1566.81,1581.74,1536.95,14.93,STRUCTURE,1571.59,TIME_LOSS,-0.32016075016744809109,-0.42799732083054253182,0.51640991292699263228,12,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
46,2026-06-29 08:15:00+00,2026-06-29 08:30:00+00,2026-06-29 10:00:00+00,SHORT,BREAKDOWN_10,1572.8,1584.22,1549.96,11.42,STRUCTURE,1584.22,LOSS,-1,-1.1768826619964974,0.26707530647985989492,6,4H bearish + 1H bearish + 15m momentum confirmation + BREAKDOWN_10 + RSI 22-52
47,2026-06-30 08:00:00+00,2026-06-30 08:15:00+00,2026-06-30 11:15:00+00,SHORT,REJECT_SMA20,1588.77,1595.29,1575.73,6.52,STRUCTURE,1578.28,TIME_WIN,1.6088957055214724,0.63957055214723926380,1.8082822085889571,12,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
48,2026-06-30 12:00:00+00,2026-06-30 12:15:00+00,2026-06-30 15:15:00+00,SHORT,BREAKDOWN_10,1572.37,1585.63,1545.85,13.26,STRUCTURE,1565.14,TIME_WIN,0.54524886877828054299,0.34464555052790346908,0.95399698340874811463,12,4H bearish + 1H bearish + 15m momentum confirmation + BREAKDOWN_10 + RSI 22-52
49,2026-06-30 22:30:00+00,2026-06-30 22:45:00+00,2026-07-01 00:00:00+00,SHORT,BREAKDOWN_10,1567.67,1574.65,1553.71,6.98,STRUCTURE,1574.65,LOSS,-1,-2.6260744985673352,2.3022922636103152,5,4H bearish + 1H bearish + 15m momentum confirmation + BREAKDOWN_10 + RSI 22-52
50,2026-07-01 10:00:00+00,2026-07-01 10:15:00+00,2026-07-01 13:15:00+00,SHORT,REJECT_SMA20,1574.43,1584.8,1553.69,10.37,STRUCTURE,1577.56,TIME_LOSS,-0.30183220829315332690,-0.42912246865959498554,0.27386692381870781099,12,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
51,2026-07-02 09:15:00+00,2026-07-02 09:30:00+00,2026-07-02 09:30:00+00,LONG,BREAKOUT_10,1628.69,1617.79,1650.49,10.90,STRUCTURE,1650.49,WIN,2,-0.00091743119266055046,3.8385321100917431,0,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
52,2026-07-02 18:00:00+00,2026-07-02 18:15:00+00,2026-07-02 21:15:00+00,LONG,RECLAIM_SMA20,1701.71,1690.76000000000000000,1723.61000000000000000,10.95000000000000000,ATR_1.2,1703.13,TIME_WIN,0.12968036529680365297,0.08127853881278538813,0.23378995433789954338,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
53,2026-07-02 23:45:00+00,2026-07-03 00:00:00+00,2026-07-03 01:00:00+00,LONG,RECLAIM_SMA20,1700,1691.05,1717.90,8.95,STRUCTURE,1717.90,WIN,2,-0.59664804469273743017,2.0882681564245810,4,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
54,2026-07-03 02:45:00+00,2026-07-03 03:00:00+00,2026-07-03 06:00:00+00,LONG,RECLAIM_SMA20,1704.11,1694.30342857142857148,1723.72314285714285704,9.80657142857142852,ATR_1.2,1716.68,TIME_WIN,1.28179354951490255,0.92794918859074090747,1.71823558546747080,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
55,2026-07-03 10:30:00+00,2026-07-03 10:45:00+00,2026-07-03 13:45:00+00,LONG,BREAKOUT_10,1746.58,1720.22,1799.30,26.36,STRUCTURE,1747.46,TIME_WIN,0.03338391502276176024,-0.09673748103186646434,0.23179059180576631259,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
56,2026-07-03 15:00:00+00,2026-07-03 15:15:00+00,2026-07-03 16:00:00+00,LONG,RECLAIM_SMA20,1739.82,1728.08,1763.30,11.74,STRUCTURE,1728.08,LOSS,-1,-1.0919931856899489,-0.19080068143100511073,3,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
57,2026-07-03 17:30:00+00,2026-07-03 17:45:00+00,2026-07-03 20:30:00+00,LONG,RECLAIM_SMA20,1739.97,1729.65,1760.61,10.32,STRUCTURE,1760.61,WIN,2,1.0988372093023256,3.2625968992248062,11,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
58,2026-07-04 04:30:00+00,2026-07-04 04:45:00+00,2026-07-04 07:45:00+00,LONG,BREAKOUT_10,1757.01,1747.07,1776.89,9.94,STRUCTURE,1757.48,TIME_WIN,0.04728370221327967807,-0.27464788732394366197,0.19114688128772635815,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
59,2026-07-04 09:45:00+00,2026-07-04 10:00:00+00,2026-07-04 13:00:00+00,LONG,RECLAIM_SMA20,1757.35,1752.62971428571428568,1766.79057142857142864,4.72028571428571432,ATR_1.2,1761.59,TIME_WIN,0.89825071121602807894,0.71605834997881483652,1.30076871860056896,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
60,2026-07-04 13:15:00+00,2026-07-04 13:30:00+00,2026-07-04 15:00:00+00,LONG,BREAKOUT_10,1767.89,1758.23,1787.21,9.66,STRUCTURE,1787.21,WIN,2,0.35817805383022774327,3.6687370600414079,6,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
61,2026-07-04 17:45:00+00,2026-07-04 18:00:00+00,2026-07-04 21:00:00+00,LONG,BREAKOUT_10,1799.02,1778.33,1840.40,20.69,STRUCTURE,1789.5,TIME_LOSS,-0.46012566457225712905,-0.66022232962783953601,-0.39246012566457225713,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
62,2026-07-05 21:15:00+00,2026-07-05 21:30:00+00,2026-07-05 22:30:00+00,LONG,RECLAIM_SMA20,1780.1,1768.11,1804.08,11.99,STRUCTURE,1804.08,WIN,2,-0.54545454545454545455,2.2985821517931610,4,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
63,2026-07-06 00:30:00+00,2026-07-06 00:45:00+00,2026-07-06 03:15:00+00,LONG,RECLAIM_SMA20,1787.26,1773.56,1814.66,13.70,STRUCTURE,1773.56,LOSS,-1,-1.2175182481751825,-0.33430656934306569343,10,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
64,2026-07-06 15:30:00+00,2026-07-06 15:45:00+00,2026-07-06 18:45:00+00,LONG,BREAKOUT_10,1776.83,1744.47,1841.55,32.36,STRUCTURE,1791.8,TIME_WIN,0.46260815822002472188,0.44283065512978986403,0.55747836835599505562,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
65,2026-07-06 20:30:00+00,2026-07-06 20:45:00+00,2026-07-06 21:00:00+00,LONG,RECLAIM_SMA20,1792.5,1785.54685714285714284,1806.40628571428571432,6.95314285714285716,ATR_1.2,1806.40628571428571432,WIN,2,-0.07190992767915844821,5.96852399737015120,1,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
66,2026-07-07 14:45:00+00,2026-07-07 15:00:00+00,2026-07-07 18:00:00+00,LONG,RECLAIM_SMA20,1788.84,1759.75,1847.02,29.09,STRUCTURE,1802.91,TIME_WIN,0.48367136473014781712,0.43898246820213131660,0.72705397043657614300,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
67,2026-07-10 01:15:00+00,2026-07-10 01:30:00+00,2026-07-10 01:45:00+00,LONG,BREAKOUT_10,1749.71,1736.12,1776.89,13.59,STRUCTURE,1776.89,WIN,2,-0.10375275938189845475,2.2016188373804268,1,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
68,2026-07-10 07:15:00+00,2026-07-10 07:30:00+00,2026-07-10 09:30:00+00,LONG,RECLAIM_SMA20,1775.27,1767.74,1790.33,7.53,STRUCTURE,1790.33,WIN,2,1.6374501992031873,3.6254980079681275,8,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
69,2026-07-10 12:00:00+00,2026-07-10 12:15:00+00,2026-07-10 12:30:00+00,LONG,BREAKOUT_10,1803.83,1793.36,1824.77,10.47,STRUCTURE,1793.36,LOSS,-1,-2.9197707736389685,0.00477554918815663801,1,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
70,2026-07-10 13:00:00+00,2026-07-10 13:15:00+00,2026-07-10 13:45:00+00,LONG,RECLAIM_SMA20,1793.66,1786.78914285714285716,1807.40171428571428568,6.87085714285714284,ATR_1.2,1807.40171428571428568,WIN,2,-2.96906187624750500,2.78858948769128411,2,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
71,2026-07-10 16:45:00+00,2026-07-10 17:00:00+00,2026-07-10 18:45:00+00,LONG,BREAKOUT_10,1796.76,1784.24,1821.80,12.52,STRUCTURE,1784.24,LOSS,-1,-1.3322683706070288,-0.36821086261980830671,7,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
72,2026-07-10 19:30:00+00,2026-07-10 19:45:00+00,2026-07-10 22:45:00+00,LONG,BREAKOUT_10,1795.13,1780.08,1825.23,15.05,STRUCTURE,1794.34,TIME_LOSS,-0.05249169435215946844,-0.17408637873754152824,0.06245847176079734219,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
73,2026-07-11 19:30:00+00,2026-07-11 19:45:00+00,2026-07-11 22:15:00+00,LONG,RECLAIM_SMA20,1820.52,1814.19771428571428568,1833.16457142857142864,6.32228571428571432,ATR_1.2,1814.19771428571428568,LOSS,-1,-1.96606109906001445,0.18031453362255965195,10,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
74,2026-07-12 20:30:00+00,2026-07-12 20:45:00+00,2026-07-12 21:15:00+00,LONG,RECLAIM_SMA20,1822.2,1817.68,1831.24,4.52,STRUCTURE,1817.68,LOSS,-1,-5.7234513274336283,-0.67256637168141592920,2,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
75,2026-07-14 08:15:00+00,2026-07-14 08:30:00+00,2026-07-14 10:45:00+00,LONG,RECLAIM_SMA20,1785.43,1777.52,1801.25,7.91,STRUCTURE,1801.25,WIN,2,0.92541087231352718078,2.3982300884955752,9,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
76,2026-07-14 22:15:00+00,2026-07-14 22:30:00+00,2026-07-15 01:30:00+00,LONG,BREAKOUT_10,1880.7,1870.83,1900.44,9.87,STRUCTURE,1870.83,LOSS,-1,-1.4133738601823708,-0.21276595744680851064,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
77,2026-07-15 05:30:00+00,2026-07-15 05:45:00+00,2026-07-15 06:00:00+00,LONG,RECLAIM_SMA20,1873.5,1867.56085714285714284,1885.37828571428571432,5.93914285714285716,ATR_1.2,1885.37828571428571432,WIN,2,-1.74435945542887381,3.02232164333477653,1,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
78,2026-07-15 08:30:00+00,2026-07-15 08:45:00+00,2026-07-15 11:45:00+00,LONG,RECLAIM_SMA20,1877.04,1865,1901.12,12.04,STRUCTURE,1883.61,TIME_WIN,0.54568106312292358804,0.22093023255813953488,0.66112956810631229236,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
79,2026-07-15 12:30:00+00,2026-07-15 12:45:00+00,2026-07-15 12:45:00+00,LONG,BREAKOUT_10,1891.89,1877.4,1920.87,14.49,STRUCTURE,1920.87,WIN,2,-0.05659075224292615597,3.7342995169082126,0,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
80,2026-07-15 17:45:00+00,2026-07-15 18:00:00+00,2026-07-15 21:00:00+00,LONG,RECLAIM_SMA20,1927.13,1909.94,1961.51,17.19,STRUCTURE,1922.55,TIME_LOSS,-0.26643397324025596277,-0.38917975567190226876,-0.13030831878999418266,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
81,2026-07-16 00:00:00+00,2026-07-16 00:15:00+00,2026-07-16 00:15:00+00,LONG,RECLAIM_SMA20,1923.64,1913.76,1943.40,9.88,STRUCTURE,1913.76,LOSS,-1,-1.6538461538461538,0.23785425101214574899,0,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
82,2026-07-16 01:45:00+00,2026-07-16 02:00:00+00,2026-07-16 05:00:00+00,LONG,RECLAIM_SMA20,1921.85,1907.3,1950.95,14.55,STRUCTURE,1920.8,TIME_LOSS,-0.07216494845360824742,-0.36769759450171821306,-0.05910652920962199313,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
83,2026-07-19 00:45:00+00,2026-07-19 01:00:00+00,2026-07-19 02:00:00+00,LONG,RECLAIM_SMA20,1860.45,1856.40085714285714284,1868.54828571428571432,4.04914285714285716,ATR_1.2,1868.54828571428571432,WIN,2,-0.79523003104713519279,4.05764888512559976,4,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
84,2026-07-19 07:15:00+00,2026-07-19 07:30:00+00,2026-07-19 09:30:00+00,LONG,RECLAIM_SMA20,1868.41,1865.03714285714285716,1875.15571428571428568,3.37285714285714284,ATR_1.2,1865.03714285714285716,LOSS,-1,-1.60101651842439645,1.25412960609911055,8,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
85,2026-07-19 10:30:00+00,2026-07-19 10:45:00+00,2026-07-19 13:45:00+00,LONG,RECLAIM_SMA20,1871.06,1863.01,1887.16,8.05,STRUCTURE,1871.06,BE,0.00000000000000000000,-0.32919254658385093168,0.26708074534161490683,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
86,2026-07-19 15:30:00+00,2026-07-19 15:45:00+00,2026-07-19 16:45:00+00,LONG,RECLAIM_SMA20,1871.31,1865.07857142857142852,1883.77285714285714296,6.23142857142857148,ATR_1.2,1865.07857142857142852,LOSS,-1,-3.40692342961944060,0.00320953690967446123,4,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
87,2026-07-19 22:00:00+00,2026-07-19 22:15:00+00,2026-07-20 01:15:00+00,LONG,BREAKOUT_10,1868.29,1856.01,1892.85,12.28,STRUCTURE,1879.76,TIME_WIN,0.93403908794788273616,0.26465798045602605863,1.2793159609120521,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
88,2026-07-20 02:00:00+00,2026-07-20 02:15:00+00,2026-07-20 05:00:00+00,LONG,RECLAIM_SMA20,1876.93,1862.95000000000000000,1904.89000000000000000,13.98000000000000000,ATR_1.2,1862.95000000000000000,LOSS,-1,-1.91273247496423462,-0.55221745350500715308,11,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
