trade_no,signal_ts,entry_ts,exit_ts,direction,trigger,entry_price,stop_loss,take_profit,risk_distance,sl_method,exit_price,result,r_mult,mae_r,mfe_r,hold_bars,reason
155,2026-08-20 19:00:00+00,2026-08-20 19:15:00+00,2026-08-20 22:15:00+00,LONG,RECLAIM_SMA20,2320.16,2299.51571428571428568,2361.44857142857142864,20.64428571428571432,ATR_1.2,2313.9,TIME_LOSS,-0.30323161026918552299,-0.65344958826378797207,-0.15549096948308075540,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
156,2026-08-20 23:15:00+00,2026-08-20 23:30:00+00,2026-08-21 01:45:00+00,LONG,BREAKOUT_10,2330.6,2306.67,2378.46,23.93,STRUCTURE,2378.46,WIN,2,0.88132051817801922273,2.0865022983702466,9,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
157,2026-08-21 04:00:00+00,2026-08-21 04:15:00+00,2026-08-21 06:45:00+00,LONG,RECLAIM_SMA20,2345.35,2326.59142857142857148,2382.86714285714285704,18.75857142857142852,ATR_1.2,2382.86714285714285704,WIN,2,0.97288858426624019763,2.83177214225877695,10,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
158,2026-08-21 07:00:00+00,2026-08-21 07:15:00+00,2026-08-21 08:45:00+00,LONG,BREAKOUT_10,2385.71,2354.02,2449.09,31.69,STRUCTURE,2449.09,WIN,2,0.14484064373619438309,2.0271378983906595,6,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
159,2026-08-21 14:15:00+00,2026-08-21 14:30:00+00,2026-08-21 17:30:00+00,LONG,RECLAIM_SMA20,2391.76,2367.14,2441.00,24.62,STRUCTURE,2419.2,TIME_WIN,1.1145410235580829,0.88424045491470349310,1.3834281072298944,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
160,2026-08-21 20:15:00+00,2026-08-21 20:30:00+00,2026-08-21 21:45:00+00,LONG,BREAKOUT_10,2444.55,2407,2519.65,37.55,STRUCTURE,2519.65,WIN,2,1.0130492676431425,2.7906790945406125,5,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
161,2026-08-22 03:15:00+00,2026-08-22 03:30:00+00,2026-08-22 05:00:00+00,LONG,RECLAIM_SMA20,2519.44,2495.11,2568.10,24.33,STRUCTURE,2495.11,LOSS,-1,-5.7209206740649404,-0.06370735717221537197,6,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
162,2026-08-23 11:30:00+00,2026-08-23 11:45:00+00,2026-08-23 13:15:00+00,LONG,BREAKOUT_10,2433.7,2412.43,2476.24,21.27,STRUCTURE,2476.24,WIN,2,-2.2529384109073813,2.4283027738598966,6,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
163,2026-08-23 14:45:00+00,2026-08-23 15:00:00+00,2026-08-23 18:00:00+00,LONG,RECLAIM_SMA20,2438.09,2385.78,2542.71,52.31,STRUCTURE,2444.35,TIME_WIN,0.11967119097686866756,-0.08583444848021410820,0.20359395909004014529,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
164,2026-08-23 19:30:00+00,2026-08-23 19:45:00+00,2026-08-23 20:00:00+00,LONG,RECLAIM_SMA20,2447.25,2435.51914285714285716,2470.71171428571428568,11.73085714285714284,ATR_1.2,2435.51914285714285716,LOSS,-1,-1.03402503775147353,3.20607433386916070,1,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
